Name,Finish,Duration,run,iterations,Fleetsize,Price1,Price2,Spacing,Demand Factor Adjust,Max Deviation Factor,Opt out distance,demand,served,serviceratio,alternate,serviceMSA,devFactP_MSA,walkTP_MSA,waitTP_MSA,devFactO_MSA,walkTO_MSA,waitTO_MSA.append
Iteration_2023-02-24_12:33:40,12:33:40,31.549162,15,6,4,2,0.375,0,1,2,0.7,"[239, 185, 178, 174, 174, 174]","[152, 151, 149, 150, 150, 150]","[0.6359832635983264, 0.8162162162162162, 0.8370786516853933, 0.8620689655172413, 0.8620689655172413, 0.8620689655172413]",False,"[1, 0.6359832635983264, 0.8162162162162162, 0.8370786516853933, 0.8620689655172413, 0.8620689655172413, 0.8620689655172413]","[1.0, 1.2366063522335358, 1.3105352846411433, 1.3384496164288338, 1.353747763380775, 1.3639465280154024, 1.3639465280154024]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.753871194362198, 8.559346288297759, 9.2264185694536, 9.474598126168184, 9.640051163977907, 9.640051163977907]","[1.0, 1.1689031923213271, 1.2278318405143118, 1.2560842769542813, 1.2668830965071796, 1.274082309542445, 1.274082309542445]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.3361001010636475, 1.6881890906523231, 1.750114060064218, 1.7697532947568793, 1.78284611788532, 1.78284611788532]"
Iteration_2023-02-24_12:34:21,12:34:21,41.35555,16,8,4,2,0.375,0,1,2,0.7,"[213, 170, 158, 152, 149, 146, 146, 146]","[142, 137, 135, 133, 132, 132, 132, 132]","[0.6666666666666666, 0.8058823529411765, 0.8544303797468354, 0.875, 0.8859060402684564, 0.9041095890410958, 0.9041095890410958, 0.9041095890410958]",False,"[1, 0.6666666666666666, 0.8058823529411765, 0.8544303797468354, 0.875, 0.8859060402684564, 0.9041095890410958, 0.9041095890410958, 0.9041095890410958]","[1.0, 1.2533393708030014, 1.3303648826917926, 1.3798451890456112, 1.4095333728579023, 1.4293254953994297, 1.4333384780069207, 1.436348214962539, 1.436348214962539]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.1413048405028245, 8.092482029092457, 8.75514602860877, 9.136842463153615, 9.365951103051058, 9.320966015184833, 9.287227199285164, 9.287227199285164]","[1.0, 1.1488258654948844, 1.1956268382426352, 1.2187490253912396, 1.231045181245466, 1.237930871059161, 1.241827014855491, 1.2447491227027385, 1.2447491227027385]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.8205008969350415, 1.1987505708427342, 1.422392395621509, 1.5272335189524726, 1.6019698847857429, 1.5973998666014162, 1.5939723529631713, 1.5939723529631713]"
Iteration_2023-02-24_12:34:53,12:34:53,31.690268,17,6,4,2,0.375,0,1,2,0.7,"[238, 194, 181, 178, 178, 178]","[159, 151, 151, 150, 150, 149]","[0.6680672268907563, 0.7783505154639175, 0.8342541436464088, 0.8426966292134831, 0.8426966292134831, 0.8370786516853933]",False,"[1, 0.6680672268907563, 0.7783505154639175, 0.8342541436464088, 0.8426966292134831, 0.8426966292134831, 0.8370786516853933]","[1.0, 1.2432953929843829, 1.3285217247159344, 1.3621911265729103, 1.382392767687096, 1.3958605284298862, 1.3958605284298862]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.499049830376938, 8.579540945319039, 9.414003762995359, 9.802450974015565, 10.061415781362369, 10.061415781362369]","[1.0, 1.1773168345264362, 1.232212170199188, 1.2512833890075665, 1.2635444249448613, 1.2717184489030577, 1.2717184489030577]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.9760171774662252, 2.5536693523594054, 2.6418722802738315, 2.672383556764957, 2.6927244077590413, 2.6927244077590413]"
Iteration_2023-02-24_12:35:41,12:35:41,47.816773,18,9,4,2,0.375,0,1,2,0.7,"[218, 179, 173, 171, 167, 165, 163, 162, 162]","[151, 151, 146, 146, 143, 143, 143, 143, 143]","[0.6926605504587156, 0.8435754189944135, 0.8439306358381503, 0.8538011695906432, 0.8562874251497006, 0.8666666666666667, 0.8773006134969326, 0.8827160493827161, 0.8827160493827161]",False,"[1, 0.6926605504587156, 0.8435754189944135, 0.8439306358381503, 0.8538011695906432, 0.8562874251497006, 0.8666666666666667, 0.8773006134969326, 0.8827160493827161, 0.8827160493827161]","[1.0, 1.2462067113739266, 1.3190536003655133, 1.3483664530590405, 1.3659541646751567, 1.3814392461123657, 1.3925000185675154, 1.4007955979088775, 1.4072477151743814, 1.4072477151743814]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.546797627393993, 8.096515204040744, 9.121553402815126, 9.700961279696216, 10.114989787325394, 10.401639079233004, 10.610492451355839, 10.769574308628322, 10.769574308628322]","[1.0, 1.182420168819896, 1.2338945780842796, 1.2600129138649059, 1.2756839153332815, 1.2863742091598789, 1.2940101333217342, 1.2997370764431257, 1.3041913655375414, 1.3041913655375414]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.1847685967091437, 1.2605060293131247, 1.3403654649273151, 1.3856720106861726, 1.393529696796705, 1.3863527889555194, 1.38097010807463, 1.3767835785006048, 1.3767835785006048]"
Iteration_2023-02-24_12:36:23,12:36:23,41.764569,19,8,4,2,0.375,0,1,2,0.7,"[223, 178, 169, 161, 159, 157, 157, 156]","[148, 144, 144, 142, 142, 140, 141, 141]","[0.6636771300448431, 0.8089887640449438, 0.8520710059171598, 0.8819875776397516, 0.8930817610062893, 0.89171974522293, 0.8980891719745223, 0.9038461538461539]",False,"[1, 0.6636771300448431, 0.8089887640449438, 0.8520710059171598, 0.8819875776397516, 0.8930817610062893, 0.89171974522293, 0.8980891719745223, 0.9038461538461539]","[1.0, 1.2295804108001438, 1.2991116423565046, 1.3338772581346847, 1.3527193382025278, 1.3652807249144232, 1.3742531439943486, 1.3809824583042927, 1.3809824583042927]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.431145964066572, 8.083582152871593, 8.795590151636926, 9.111412285264638, 9.279416494015651, 9.399419500266376, 9.480960934332288, 9.480960934332288]","[1.0, 1.177899767133789, 1.2182218771348434, 1.2383829321353708, 1.2520625577920126, 1.2611823082297737, 1.267064478454529, 1.272980476819302, 1.272980476819302]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.1317055644917677, 2.503586867519765, 2.6713636902248217, 2.7607802666823043, 2.820391317653959, 2.735344000696642, 2.76038544603631, 2.76038544603631]"
Iteration_2023-02-24_12:37:00,12:37:00,37.4494,20,7,4,2,0.375,0,1,2,0.7,"[227, 184, 174, 169, 166, 165, 165]","[160, 155, 152, 153, 153, 153, 153]","[0.7048458149779736, 0.842391304347826, 0.8735632183908046, 0.9053254437869822, 0.9216867469879518, 0.9272727272727272, 0.9272727272727272]",False,"[1, 0.7048458149779736, 0.842391304347826, 0.8735632183908046, 0.9053254437869822, 0.9216867469879518, 0.9272727272727272, 0.9272727272727272]","[1.0, 1.2463337623134185, 1.3275878475346732, 1.3546476590463576, 1.3708835459533684, 1.3770950028918334, 1.3815317578478798, 1.3815317578478798]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 6.4550562704249, 8.136712981188069, 9.105637395259897, 9.647486765429644, 9.746747032226983, 9.816134560131777, 9.816134560131777]","[1.0, 1.1567392620555454, 1.2080368333392013, 1.229020224750004, 1.241454595567756, 1.2503414784096416, 1.2566892518681314, 1.2566892518681314]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.8601082581951924, 2.0909449819362407, 2.2862051239518046, 2.322575810852355, 2.2802825801987723, 2.2500731297319274, 2.2500731297319274]"
Iteration_2023-02-24_12:37:41,12:37:41,41.552815,21,8,4,2,0.375,0,1,2,0.7,"[234, 186, 175, 170, 168, 166, 166, 166]","[150, 143, 140, 143, 143, 141, 141, 141]","[0.6410256410256411, 0.7688172043010753, 0.8, 0.8411764705882353, 0.8511904761904762, 0.8493975903614458, 0.8493975903614458, 0.8493975903614458]",False,"[1, 0.6410256410256411, 0.7688172043010753, 0.8, 0.8411764705882353, 0.8511904761904762, 0.8493975903614458, 0.8493975903614458, 0.8493975903614458]","[1.0, 1.2263518394489845, 1.2902853002644499, 1.327813376123322, 1.3455231423707839, 1.3573296532024248, 1.3631657806063626, 1.367542876159316, 1.367542876159316]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.270980856347819, 8.919190544942294, 9.852201617587205, 10.223217997069815, 10.455262543840266, 10.586613519055353, 10.68512675046667, 10.68512675046667]","[1.0, 1.1886314700270395, 1.2236577150526735, 1.244078561675228, 1.2541670310726618, 1.2608926773376177, 1.2661439524456026, 1.2700824087765914, 1.2700824087765914]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 2.046594570473454, 2.297575135431498, 2.4653789206204264, 2.455152959483489, 2.448335652058864, 2.4576050188724774, 2.4645570439826874, 2.4645570439826874]"
Iteration_2023-02-24_12:38:18,12:38:18,36.427499,22,7,4,2,0.375,0,1,2,0.7,"[189, 167, 157, 152, 148, 147, 147]","[134, 131, 129, 126, 125, 124, 124]","[0.708994708994709, 0.7844311377245509, 0.821656050955414, 0.8289473684210527, 0.8445945945945946, 0.8435374149659864, 0.8435374149659864]",False,"[1, 0.708994708994709, 0.7844311377245509, 0.821656050955414, 0.8289473684210527, 0.8445945945945946, 0.8435374149659864, 0.8435374149659864]","[1.0, 1.2341213602340133, 1.3039773489545599, 1.3343372561450817, 1.3576842023280675, 1.3680300270426642, 1.3754199018388047, 1.3754199018388047]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.129794803695265, 9.540181862511849, 10.574318284369545, 11.135042936410475, 11.454272701171192, 11.682293961714562, 11.682293961714562]","[1.0, 1.143428702458543, 1.1904171842627675, 1.2113204766687367, 1.221215943128748, 1.2259399486227471, 1.2309196429578968, 1.2309196429578968]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.2659095690145612, 1.363621942945939, 1.3070763871427629, 1.2253548812318846, 1.1271718382861105, 1.0264824627963105, 1.0264824627963105]"
Iteration_2023-02-24_12:38:53,12:38:53,35.545641,23,7,4,2,0.375,0,1,2,0.7,"[230, 176, 163, 162, 155, 155, 155]","[146, 139, 138, 139, 136, 136, 136]","[0.6347826086956522, 0.7897727272727273, 0.8466257668711656, 0.8580246913580247, 0.8774193548387097, 0.8774193548387097, 0.8774193548387097]",False,"[1, 0.6347826086956522, 0.7897727272727273, 0.8466257668711656, 0.8580246913580247, 0.8774193548387097, 0.8774193548387097, 0.8774193548387097]","[1.0, 1.2348221645833803, 1.3061755553672552, 1.3418522507591928, 1.3632582679943552, 1.37048216251518, 1.3756420871729118, 1.3756420871729118]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.321196803614324, 9.481526621398068, 10.509886729931548, 11.120561691316833, 11.093578051902199, 11.074304023748889, 11.074304023748889]","[1.0, 1.147546567401104, 1.1892570091600014, 1.2095106599380583, 1.2223145237618456, 1.2300846736246946, 1.235634780669587, 1.235634780669587]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.6704508298635132, 2.0778556269535557, 1.9894579778778003, 1.9324555607756788, 1.8600225653768951, 1.8082847115206209, 1.8082847115206209]"
Iteration_2023-02-24_12:39:25,12:39:25,31.42689,24,6,4,2,0.375,0,1,2,0.7,"[205, 170, 158, 155, 155, 155]","[153, 146, 142, 142, 142, 142]","[0.7463414634146341, 0.8588235294117647, 0.8987341772151899, 0.9161290322580645, 0.9161290322580645, 0.9161290322580645]",False,"[1, 0.7463414634146341, 0.8588235294117647, 0.8987341772151899, 0.9161290322580645, 0.9161290322580645, 0.9161290322580645]","[1.0, 1.2090033686987902, 1.285908079104183, 1.3176816391794384, 1.3348286733954087, 1.3462600295393887, 1.3462600295393887]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 5.236047566240088, 6.422594137059195, 7.138167325169478, 7.26674672240226, 7.352466320557448, 7.352466320557448]","[1.0, 1.1930906308029967, 1.2346474223137982, 1.2566529675231395, 1.268252171319391, 1.2759849738502254, 1.2759849738502254]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.853939610178221, 2.4110429031505465, 2.461195631318611, 2.3678064855289636, 2.3055470550025317, 2.3055470550025317]"
Iteration_2023-02-24_12:40:07,12:40:07,42.13797,25,8,4,2,0.375,0,1,2,0.7,"[215, 173, 166, 165, 163, 162, 161, 161]","[143, 136, 135, 135, 135, 135, 135, 135]","[0.6651162790697674, 0.7861271676300579, 0.8132530120481928, 0.8181818181818182, 0.8282208588957055, 0.8333333333333334, 0.8385093167701864, 0.8385093167701864]",False,"[1, 0.6651162790697674, 0.7861271676300579, 0.8132530120481928, 0.8181818181818182, 0.8282208588957055, 0.8333333333333334, 0.8385093167701864, 0.8385093167701864]","[1.0, 1.2457764418307862, 1.3279607712676496, 1.3567876534704473, 1.374083782792126, 1.381015404518972, 1.3859665628952906, 1.3896799316775295, 1.3896799316775295]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 7.336460254805155, 9.500901497226401, 10.644705109309122, 11.328636826984118, 11.781578882875685, 12.080896636229202, 12.29473012400825, 12.29473012400825]","[1.0, 1.1352966007504086, 1.1704342575425566, 1.1906034475698895, 1.2027049615862893, 1.2110137803427334, 1.2169486508830507, 1.2213998037882885, 1.2213998037882885]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.2641782066596865, 1.4591012076411285, 1.4908072862270598, 1.5098309333786186, 1.5905573255736192, 1.648219034284334, 1.6914653158173698, 1.6914653158173698]"
